Subject, Session, Module, Status, Progress, User, Workstation, Date, Processing.time, Processing, Version
CC110045, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:10 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC110319, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:11 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC110411, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:12 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC112141, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:12 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120061, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:13 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120065, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:14 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120123, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:15 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120166, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:15 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120319, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:16 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120376, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:17 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120409, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:17 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120727, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:18 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120795, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:19 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120816, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:19 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC120987, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:20 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC121144, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:21 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC121200, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:22 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC121397, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:22 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC121685, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:23 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC210023, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:24 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC210172, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:25 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC210422, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:26 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC210519, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:26 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC210526, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:27 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220098, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:28 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220198, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:28 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220223, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:29 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220284, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:30 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220323, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:30 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220518, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:31 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220535, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:31 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220635, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:32 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220697, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:33 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC220901, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:33 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC221040, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:34 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC221648, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:35 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC310052, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:35 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
CC310331, pre, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Thu May 13 11:42:36 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
