Subject, Session, Module, Status, Progress, User, Workstation, Date, Processing.time, Processing, Version
04165, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:00 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04166, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:01 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04170, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:02 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04171, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:03 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04178, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:04 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04181, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:04 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04201, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:05 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04204, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:06 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04209, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:07 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04210, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:08 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
04211, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:09 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
26896, 02, proc_freesurfer, COMPLETED, 01/01, rcruces, yeatman.bic.mni.mcgill.ca, Mon Jun  7 22:52:13 EDT 2021, 0.000, LOCAL, v0.0.2 'wobbly'
