Subject, Session, Module, Status, Progress, User, Workstation, Date, Processing.time, Processing, Version
367, 01, proc_dwi, COMPLETED, 10/10, rcruces, venice.bic.mni.mcgill.ca, Tue Nov 17 02:14:25 EST 2020,69.883, qsub-MICA, v0.0.2 'wobbly'
373, 01, proc_dwi, COMPLETED, 10/10, rcruces, venice.bic.mni.mcgill.ca, Tue Nov 17 02:31:00 EST 2020,86.467, qsub-MICA, v0.0.2 'wobbly'
367, 01, proc_dwi, COMPLETED, 10/10, rcruces, fladgate.bic.mni.mcgill.ca, Tue Nov 17 02:58:45 EST 2020,53.133, qsub-MICA, v0.0.2 'wobbly'
373, 01, proc_dwi, COMPLETED, 10/10, rcruces, fladgate.bic.mni.mcgill.ca, Tue Nov 17 03:06:15 EST 2020,59.333, qsub-MICA, v0.0.2 'wobbly'
4001, 01, proc_dwi, COMPLETED, 10/10, rcruces, venice.bic.mni.mcgill.ca, Tue Nov 17 03:07:53 EST 2020,123.35, qsub-MICA, v0.0.2 'wobbly'
4004, 01, proc_dwi, COMPLETED, 10/10, rcruces, venice.bic.mni.mcgill.ca, Tue Nov 17 03:12:19 EST 2020,127.783, qsub-MICA, v0.0.2 'wobbly'
4009, 01, proc_dwi, COMPLETED, 10/10, rcruces, venice.bic.mni.mcgill.ca, Tue Nov 17 03:54:42 EST 2020,78.45, qsub-MICA, v0.0.2 'wobbly'
4013, 01, proc_dwi, COMPLETED, 10/10, rcruces, venice.bic.mni.mcgill.ca, Tue Nov 17 04:25:11 EST 2020,108.517, qsub-MICA, v0.0.2 'wobbly'
4018, 01, proc_dwi, COMPLETED, 10/10, rcruces, node25.bic.mni.mcgill.ca, Wed Nov 18 01:05:06 EST 2020,53.317, qsub-all.q, v0.0.2 'wobbly'
4015, 01, proc_dwi, COMPLETED, 10/10, rcruces, node27.bic.mni.mcgill.ca, Wed Nov 18 01:05:57 EST 2020,54.017, qsub-all.q, v0.0.2 'wobbly'
4027, 01, proc_dwi, COMPLETED, 10/10, rcruces, node27.bic.mni.mcgill.ca, Wed Nov 18 01:06:20 EST 2020,54.55, qsub-all.q, v0.0.2 'wobbly'
4164, 01, proc_dwi, COMPLETED, 10/10, rcruces, node25.bic.mni.mcgill.ca, Wed Nov 18 01:06:57 EST 2020,55.033, qsub-all.q, v0.0.2 'wobbly'
4028, 01, proc_dwi, COMPLETED, 10/10, rcruces, node29, Wed Nov 18 01:07:41 EST 2020,55.783, qsub-all.q, v0.0.2 'wobbly'
4166, 01, proc_dwi, COMPLETED, 10/10, rcruces, node33.bic.mni.mcgill.ca, Wed Nov 18 01:08:06 EST 2020,56.15, qsub-all.q, v0.0.2 'wobbly'
4165, 01, proc_dwi, COMPLETED, 10/10, rcruces, node35, Wed Nov 18 01:09:37 EST 2020,57.633, qsub-all.q, v0.0.2 'wobbly'
4169, 01, proc_dwi, COMPLETED, 10/10, rcruces, node35, Wed Nov 18 01:10:50 EST 2020,58.833, qsub-all.q, v0.0.2 'wobbly'
4171, 01, proc_dwi, COMPLETED, 10/10, rcruces, node30, Wed Nov 18 01:11:37 EST 2020,59.183, qsub-all.q, v0.0.2 'wobbly'
4178, 01, proc_dwi, COMPLETED, 10/10, rcruces, node35, Wed Nov 18 01:11:45 EST 2020,59.767, qsub-all.q, v0.0.2 'wobbly'
4170, 01, proc_dwi, COMPLETED, 10/10, rcruces, node35, Wed Nov 18 01:12:08 EST 2020,60.133, qsub-all.q, v0.0.2 'wobbly'
4173, 01, proc_dwi, COMPLETED, 10/10, rcruces, node29, Wed Nov 18 01:12:12 EST 2020,60.433, qsub-all.q, v0.0.2 'wobbly'
4201, 01, proc_dwi, COMPLETED, 10/10, rcruces, node30, Wed Nov 18 01:16:06 EST 2020,63.65, qsub-all.q, v0.0.2 'wobbly'
4181, 01, proc_dwi, COMPLETED, 10/10, rcruces, node32, Wed Nov 18 01:19:24 EST 2020,67.433, qsub-all.q, v0.0.2 'wobbly'
4202, 01, proc_dwi, COMPLETED, 10/10, rcruces, node32, Wed Nov 18 01:19:42 EST 2020,67.733, qsub-all.q, v0.0.2 'wobbly'
4204, 01, proc_dwi, COMPLETED, 10/10, rcruces, node22.bic.mni.mcgill.ca, Wed Nov 18 01:20:12 EST 2020,67.867, qsub-all.q, v0.0.2 'wobbly'
4215, 01, proc_dwi, COMPLETED, 10/10, rcruces, node31.bic.mni.mcgill.ca, Wed Nov 18 01:20:28 EST 2020,68.5, qsub-all.q, v0.0.2 'wobbly'
4211, 01, proc_dwi, COMPLETED, 10/10, rcruces, node31.bic.mni.mcgill.ca, Wed Nov 18 01:21:10 EST 2020,69.2, qsub-all.q, v0.0.2 'wobbly'
4209, 01, proc_dwi, COMPLETED, 10/10, rcruces, node22.bic.mni.mcgill.ca, Wed Nov 18 01:25:02 EST 2020,73.117, qsub-all.q, v0.0.2 'wobbly'
4210, 01, proc_dwi, COMPLETED, 10/10, rcruces, node22.bic.mni.mcgill.ca, Wed Nov 18 01:25:33 EST 2020,72.133, qsub-all.q, v0.0.2 'wobbly'
4216, 01, proc_dwi, COMPLETED, 10/10, rcruces, node31.bic.mni.mcgill.ca, Wed Nov 18 01:25:47 EST 2020,73.817, qsub-all.q, v0.0.2 'wobbly'
4217, 01, proc_dwi, COMPLETED, 10/10, rcruces, node31.bic.mni.mcgill.ca, Wed Nov 18 01:26:17 EST 2020,74.317, qsub-all.q, v0.0.2 'wobbly'
4221, 01, proc_dwi, COMPLETED, 10/10, rcruces, node22.bic.mni.mcgill.ca, Wed Nov 18 01:27:33 EST 2020,75.767, qsub-all.q, v0.0.2 'wobbly'
27960, 01, proc_dwi, COMPLETED, 10/10, rcruces, node25.bic.mni.mcgill.ca, Wed Nov 18 01:58:16 EST 2020,53.017, qsub-all.q, v0.0.2 'wobbly'
27974, 01, proc_dwi, COMPLETED, 10/10, rcruces, node27.bic.mni.mcgill.ca, Wed Nov 18 01:58:51 EST 2020,52.417, qsub-all.q, v0.0.2 'wobbly'
27934, 01, proc_dwi, COMPLETED, 10/10, rcruces, node25.bic.mni.mcgill.ca, Wed Nov 18 01:59:46 EST 2020,52.6, qsub-all.q, v0.0.2 'wobbly'
27869, 01, proc_dwi, COMPLETED, 10/10, rcruces, node27.bic.mni.mcgill.ca, Wed Nov 18 01:59:58 EST 2020,53.8, qsub-all.q, v0.0.2 'wobbly'
4245, 01, proc_dwi, COMPLETED, 10/10, rcruces, node33.bic.mni.mcgill.ca, Wed Nov 18 02:01:19 EST 2020,53.133, qsub-all.q, v0.0.2 'wobbly'
28620, 01, proc_dwi, COMPLETED, 10/10, rcruces, node35, Wed Nov 18 02:06:16 EST 2020,53.8, qsub-all.q, v0.0.2 'wobbly'
