Subject, Session, Module, Status, Progress, User, Workstation, Date, Processing.time, Processing, Version
MSC02, struct01, proc_freesurfer, COMPLETED, 01/01, rcruces, cassio.bic.mni.mcgill.ca, Thu Apr 15 14:51:24 EDT 2021, 769.800, qsub-MICA, v0.0.2 'wobbly'
MSC01, struct02, proc_freesurfer, COMPLETED, 01/01, rcruces, paris.bic.mni.mcgill.ca, Thu Apr 15 15:32:46 EDT 2021, 811.167, qsub-MICA, v0.0.2 'wobbly'
MSC02, struct02, proc_freesurfer, COMPLETED, 01/01, rcruces, paris.bic.mni.mcgill.ca, Thu Apr 15 15:52:07 EDT 2021, 754.933, qsub-MICA, v0.0.2 'wobbly'
MSC04, struct01, proc_freesurfer, COMPLETED, 01/01, rcruces, cassio.bic.mni.mcgill.ca, Thu Apr 15 18:08:34 EDT 2021, 703.100, qsub-MICA, v0.0.2 'wobbly'
MSC03, struct01, proc_freesurfer, COMPLETED, 01/01, rcruces, valentine.bic.mni.mcgill.ca, Thu Apr 15 18:31:15 EDT 2021, 765.733, qsub-MICA, v0.0.2 'wobbly'
MSC04, struct02, proc_freesurfer, COMPLETED, 01/01, rcruces, venice.bic.mni.mcgill.ca, Thu Apr 15 18:32:07 EDT 2021, 650.617, qsub-MICA, v0.0.2 'wobbly'
MSC03, struct02, proc_freesurfer, COMPLETED, 01/01, rcruces, oncilla.bic.mni.mcgill.ca, Thu Apr 15 18:46:32 EDT 2021, 741.017, qsub-MICA, v0.0.2 'wobbly'
MSC05, struct01, proc_freesurfer, COMPLETED, 01/01, rcruces, emilia.bic.mni.mcgill.ca, Fri Apr 16 00:40:26 EDT 2021, 870.717, qsub-MICA, v0.0.2 'wobbly'
MSC07, struct01, proc_freesurfer, COMPLETED, 01/01, rcruces, paris.bic.mni.mcgill.ca, Fri Apr 16 04:55:25 EDT 2021, 767.883, qsub-MICA, v0.0.2 'wobbly'
MSC05, struct02, proc_freesurfer, COMPLETED, 01/01, rcruces, cassio.bic.mni.mcgill.ca, Fri Apr 16 05:25:26 EDT 2021, 832.500, qsub-MICA, v0.0.2 'wobbly'
