Subject, Session, Module, Status, Progress, User, Workstation, Date, Processing.time, Processing, Version
1, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:09:33 EDT 2021,60.167, LOCAL, v0.0.2 'wobbly'
2, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:09:45 EDT 2021,76.867, LOCAL, v0.0.2 'wobbly'
3, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:09:57 EDT 2021,73.933, LOCAL, v0.0.2 'wobbly'
4, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:10:09 EDT 2021,75.717, LOCAL, v0.0.2 'wobbly'
5, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:10:21 EDT 2021,64.2, LOCAL, v0.0.2 'wobbly'
6, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:10:32 EDT 2021,60.65, LOCAL, v0.0.2 'wobbly'
7, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:10:42 EDT 2021,62.983, LOCAL, v0.0.2 'wobbly'
8, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:10:59 EDT 2021,63.517, LOCAL, v0.0.2 'wobbly'
9, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:11:10 EDT 2021,66.283, LOCAL, v0.0.2 'wobbly'
10, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:11:21 EDT 2021,61.05, LOCAL, v0.0.2 'wobbly'
11, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:11:31 EDT 2021,63.533, LOCAL, v0.0.2 'wobbly'
12, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:11:41 EDT 2021,63.633, LOCAL, v0.0.2 'wobbly'
13, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:11:53 EDT 2021,71.633, LOCAL, v0.0.2 'wobbly'
14, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:12:04 EDT 2021,64.067, LOCAL, v0.0.2 'wobbly'
15, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:12:14 EDT 2021,59.883, LOCAL, v0.0.2 'wobbly'
16, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:12:24 EDT 2021,63, LOCAL, v0.0.2 'wobbly'
17, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:12:35 EDT 2021,63.383, LOCAL, v0.0.2 'wobbly'
18, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:12:45 EDT 2021,65.333, LOCAL, v0.0.2 'wobbly'
19, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:12:56 EDT 2021,64.75, LOCAL, v0.0.2 'wobbly'
20, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:13:07 EDT 2021,63.567, LOCAL, v0.0.2 'wobbly'
21, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:13:20 EDT 2021,62.267, LOCAL, v0.0.2 'wobbly'
22, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:13:30 EDT 2021,63.867, LOCAL, v0.0.2 'wobbly'
23, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:13:41 EDT 2021,63.233, LOCAL, v0.0.2 'wobbly'
24, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:13:51 EDT 2021,65.35, LOCAL, v0.0.2 'wobbly'
25, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:14:02 EDT 2021,64.95, LOCAL, v0.0.2 'wobbly'
26, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:14:15 EDT 2021,63.95, LOCAL, v0.0.2 'wobbly'
27, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:14:26 EDT 2021,60.583, LOCAL, v0.0.2 'wobbly'
28, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:14:38 EDT 2021,63.533, LOCAL, v0.0.2 'wobbly'
29, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:14:48 EDT 2021,67.517, LOCAL, v0.0.2 'wobbly'
30, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:14:58 EDT 2021,62.917, LOCAL, v0.0.2 'wobbly'
31, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:15:08 EDT 2021,69.367, LOCAL, v0.0.2 'wobbly'
32, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:15:20 EDT 2021,62.95, LOCAL, v0.0.2 'wobbly'
33, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:15:30 EDT 2021,64.917, LOCAL, v0.0.2 'wobbly'
34, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:15:41 EDT 2021,61.817, LOCAL, v0.0.2 'wobbly'
35, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:15:51 EDT 2021,65.9, LOCAL, v0.0.2 'wobbly'
36, SINGLE, proc_structural, COMPLETED, 07/07, rcruces, yeatman.bic.mni.mcgill.ca, Thu May  6 11:16:02 EDT 2021,60.25, LOCAL, v0.0.2 'wobbly'
