bits, path
2, sub-CC310402_ses-pre/dwi
2, sub-CC310402_ses-pre/QC/png
2, sub-CC710664_ses-pre/anat/surfaces/conte69
2, sub-CC710664_ses-pre/dwi/connectomes
2, sub-CC710664_ses-pre/func/surfaces
2, sub-CC710679_ses-pre/anat/surfaces/conte69
2, sub-CC710679_ses-pre/anat/volumetric
2, sub-CC710679_ses-pre/func
2, sub-CC720516_ses-pre/anat/surfaces/conte69
2, sub-CC720516_ses-pre/anat/volumetric
2, sub-CC720516_ses-pre/func
4, sub-CC710664_ses-pre/anat/surfaces
4, sub-CC710679_ses-pre/anat/surfaces
4, sub-CC720516_ses-pre/anat/surfaces
30, sub-CC310402_ses-pre/QC
52, sub-CC120376_ses-pre/QC/png
52, sub-CC610405_ses-pre/QC/png
52, sub-CC720516_ses-pre/QC/png
76, sub-CC710664_ses-pre/QC/png
76, sub-CC710679_ses-pre/QC/png
79, sub-CC120376_ses-pre/QC
289, sub-CC220901_ses-pre/dwi/eddy
361, sub-CC610405_ses-pre/dwi/eddy
409, sub-CC320321_ses-pre/dwi/eddy
433, sub-CC420167_ses-pre/dwi/eddy
461, sub-CC710664_ses-pre/anat/volumetric
505, sub-CC220535_ses-pre/dwi/eddy
505, sub-CC310331_ses-pre/dwi/eddy
505, sub-CC310397_ses-pre/dwi/eddy
505, sub-CC321504_ses-pre/dwi/eddy
505, sub-CC410284_ses-pre/dwi/eddy
505, sub-CC420348_ses-pre/dwi/eddy
505, sub-CC510551_ses-pre/dwi/eddy
505, sub-CC520097_ses-pre/dwi/eddy
505, sub-CC520624_ses-pre/dwi/eddy
505, sub-CC620354_ses-pre/dwi/eddy
529, sub-CC110045_ses-pre/dwi/eddy
529, sub-CC110319_ses-pre/dwi/eddy
529, sub-CC110411_ses-pre/dwi/eddy
529, sub-CC112141_ses-pre/dwi/eddy
529, sub-CC120061_ses-pre/dwi/eddy
529, sub-CC120065_ses-pre/dwi/eddy
529, sub-CC120123_ses-pre/dwi/eddy
529, sub-CC120166_ses-pre/dwi/eddy
529, sub-CC120319_ses-pre/dwi/eddy
529, sub-CC120409_ses-pre/dwi/eddy
529, sub-CC120727_ses-pre/dwi/eddy
529, sub-CC120795_ses-pre/dwi/eddy
529, sub-CC120987_ses-pre/dwi/eddy
529, sub-CC121144_ses-pre/dwi/eddy
529, sub-CC121200_ses-pre/dwi/eddy
529, sub-CC121397_ses-pre/dwi/eddy
529, sub-CC121685_ses-pre/dwi/eddy
529, sub-CC210023_ses-pre/dwi/eddy
529, sub-CC210172_ses-pre/dwi/eddy
529, sub-CC210422_ses-pre/dwi/eddy
529, sub-CC210519_ses-pre/dwi/eddy
529, sub-CC210526_ses-pre/dwi/eddy
529, sub-CC220098_ses-pre/dwi/eddy
529, sub-CC220198_ses-pre/dwi/eddy
529, sub-CC220223_ses-pre/dwi/eddy
529, sub-CC220284_ses-pre/dwi/eddy
529, sub-CC220323_ses-pre/dwi/eddy
529, sub-CC220518_ses-pre/dwi/eddy
529, sub-CC220635_ses-pre/dwi/eddy
529, sub-CC220697_ses-pre/dwi/eddy
529, sub-CC221040_ses-pre/dwi/eddy
529, sub-CC221648_ses-pre/dwi/eddy
529, sub-CC310052_ses-pre/dwi/eddy
529, sub-CC310414_ses-pre/dwi/eddy
529, sub-CC310463_ses-pre/dwi/eddy
529, sub-CC312058_ses-pre/dwi/eddy
529, sub-CC312222_ses-pre/dwi/eddy
529, sub-CC320059_ses-pre/dwi/eddy
529, sub-CC320088_ses-pre/dwi/eddy
529, sub-CC320089_ses-pre/dwi/eddy
529, sub-CC320109_ses-pre/dwi/eddy
529, sub-CC320325_ses-pre/dwi/eddy
529, sub-CC320636_ses-pre/dwi/eddy
529, sub-CC321107_ses-pre/dwi/eddy
529, sub-CC321174_ses-pre/dwi/eddy
529, sub-CC410179_ses-pre/dwi/eddy
529, sub-CC410226_ses-pre/dwi/eddy
529, sub-CC410243_ses-pre/dwi/eddy
529, sub-CC410248_ses-pre/dwi/eddy
529, sub-CC410287_ses-pre/dwi/eddy
529, sub-CC410387_ses-pre/dwi/eddy
529, sub-CC412021_ses-pre/dwi/eddy
529, sub-CC420004_ses-pre/dwi/eddy
529, sub-CC420075_ses-pre/dwi/eddy
529, sub-CC420162_ses-pre/dwi/eddy
529, sub-CC420197_ses-pre/dwi/eddy
529, sub-CC420198_ses-pre/dwi/eddy
529, sub-CC420202_ses-pre/dwi/eddy
529, sub-CC420204_ses-pre/dwi/eddy
529, sub-CC420217_ses-pre/dwi/eddy
529, sub-CC420236_ses-pre/dwi/eddy
529, sub-CC420322_ses-pre/dwi/eddy
529, sub-CC510086_ses-pre/dwi/eddy
529, sub-CC510163_ses-pre/dwi/eddy
529, sub-CC510258_ses-pre/dwi/eddy
529, sub-CC510342_ses-pre/dwi/eddy
529, sub-CC510355_ses-pre/dwi/eddy
529, sub-CC510393_ses-pre/dwi/eddy
529, sub-CC510433_ses-pre/dwi/eddy
529, sub-CC510474_ses-pre/dwi/eddy
529, sub-CC510548_ses-pre/dwi/eddy
529, sub-CC520013_ses-pre/dwi/eddy
529, sub-CC520053_ses-pre/dwi/eddy
529, sub-CC520134_ses-pre/dwi/eddy
529, sub-CC520168_ses-pre/dwi/eddy
529, sub-CC520209_ses-pre/dwi/eddy
529, sub-CC520287_ses-pre/dwi/eddy
529, sub-CC520424_ses-pre/dwi/eddy
529, sub-CC520585_ses-pre/dwi/eddy
529, sub-CC610052_ses-pre/dwi/eddy
529, sub-CC610071_ses-pre/dwi/eddy
529, sub-CC610210_ses-pre/dwi/eddy
529, sub-CC610212_ses-pre/dwi/eddy
529, sub-CC610227_ses-pre/dwi/eddy
529, sub-CC610288_ses-pre/dwi/eddy
529, sub-CC610392_ses-pre/dwi/eddy
529, sub-CC610469_ses-pre/dwi/eddy
529, sub-CC610496_ses-pre/dwi/eddy
529, sub-CC610568_ses-pre/dwi/eddy
529, sub-CC610614_ses-pre/dwi/eddy
529, sub-CC610625_ses-pre/dwi/eddy
529, sub-CC610653_ses-pre/dwi/eddy
529, sub-CC610658_ses-pre/dwi/eddy
529, sub-CC620106_ses-pre/dwi/eddy
529, sub-CC620114_ses-pre/dwi/eddy
529, sub-CC620560_ses-pre/dwi/eddy
529, sub-CC620567_ses-pre/dwi/eddy
529, sub-CC621284_ses-pre/dwi/eddy
529, sub-CC710446_ses-pre/dwi/eddy
529, sub-CC710566_ses-pre/dwi/eddy
529, sub-CC710591_ses-pre/dwi/eddy
529, sub-CC710664_ses-pre/dwi/eddy
529, sub-CC710679_ses-pre/dwi/eddy
529, sub-CC711027_ses-pre/dwi/eddy
529, sub-CC720238_ses-pre/dwi/eddy
529, sub-CC720358_ses-pre/dwi/eddy
529, sub-CC720400_ses-pre/dwi/eddy
529, sub-CC720516_ses-pre/dwi/eddy
529, sub-CC720622_ses-pre/dwi/eddy
529, sub-CC720646_ses-pre/dwi/eddy
529, sub-CC721107_ses-pre/dwi/eddy
529, sub-CC721374_ses-pre/dwi/eddy
529, sub-CC721504_ses-pre/dwi/eddy
553, sub-CC120816_ses-pre/dwi/eddy
1245, sub-CC710679_ses-pre/logs
1245, sub-CC720516_ses-pre/logs
2453, sub-CC710664_ses-pre/logs
2808, sub-CC310402_ses-pre/logs
2880, sub-CC120376_ses-pre/logs
3029, sub-CC610405_ses-pre/logs
3133, sub-CC510163_ses-pre/logs
3133, sub-CC510258_ses-pre/logs
3141, sub-CC610071_ses-pre/logs
3149, sub-CC610210_ses-pre/logs
3197, sub-CC320321_ses-pre/logs
3211, sub-CC220901_ses-pre/QC/eddy_QC
3365, sub-CC420167_ses-pre/QC/eddy_QC
3373, sub-CC320321_ses-pre/QC/eddy_QC
3373, sub-CC610405_ses-pre/QC/eddy_QC
3429, sub-CC120123_ses-pre/QC/eddy_QC
3429, sub-CC210172_ses-pre/QC/eddy_QC
3429, sub-CC310052_ses-pre/QC/eddy_QC
3429, sub-CC310397_ses-pre/QC/eddy_QC
3429, sub-CC310463_ses-pre/QC/eddy_QC
3429, sub-CC320089_ses-pre/QC/eddy_QC
3429, sub-CC320636_ses-pre/QC/eddy_QC
3429, sub-CC410243_ses-pre/QC/eddy_QC
3429, sub-CC410284_ses-pre/QC/eddy_QC
3429, sub-CC420004_ses-pre/QC/eddy_QC
3429, sub-CC510355_ses-pre/QC/eddy_QC
3429, sub-CC510433_ses-pre/QC/eddy_QC
3429, sub-CC520013_ses-pre/QC/eddy_QC
3429, sub-CC520097_ses-pre/QC/eddy_QC
3429, sub-CC610392_ses-pre/QC/eddy_QC
3429, sub-CC620106_ses-pre/QC/eddy_QC
3429, sub-CC710664_ses-pre/QC/eddy_QC
3429, sub-CC720238_ses-pre/QC/eddy_QC
3429, sub-CC720516_ses-pre/QC/eddy_QC
3453, sub-CC110045_ses-pre/QC/eddy_QC
3453, sub-CC110319_ses-pre/QC/eddy_QC
3453, sub-CC110411_ses-pre/QC/eddy_QC
3453, sub-CC112141_ses-pre/QC/eddy_QC
3453, sub-CC120061_ses-pre/QC/eddy_QC
3453, sub-CC120065_ses-pre/QC/eddy_QC
3453, sub-CC120166_ses-pre/QC/eddy_QC
3453, sub-CC120319_ses-pre/QC/eddy_QC
3453, sub-CC120409_ses-pre/QC/eddy_QC
3453, sub-CC120727_ses-pre/QC/eddy_QC
3453, sub-CC120795_ses-pre/QC/eddy_QC
3453, sub-CC120816_ses-pre/QC/eddy_QC
3453, sub-CC120987_ses-pre/QC/eddy_QC
3453, sub-CC121144_ses-pre/QC/eddy_QC
