bits, path
40000, sub-HC026_ses-01/dwi
43560, sub-HC023_ses-01/dwi
44384, sub-HC006_ses-01/dwi
44400, sub-HC042_ses-01/dwi
44576, sub-HC048_ses-01/dwi
44840, sub-HC009_ses-01/dwi
44864, sub-HC008_ses-01/dwi
45080, sub-HC007_ses-01/dwi
45168, sub-HC021_ses-01/dwi
45232, sub-HC011_ses-01/dwi
45264, sub-HC004_ses-01/dwi
45288, sub-HC028_ses-01/dwi
45360, sub-HC035_ses-01/dwi
45400, sub-HC005_ses-01/dwi
45440, sub-HC013_ses-01/dwi
45464, sub-HC031_ses-01/dwi
45488, sub-HC017_ses-01/dwi
45504, sub-HC024_ses-01/dwi
45528, sub-HC027_ses-01/dwi
45632, sub-HC030_ses-01/dwi
45696, sub-HC033_ses-01/dwi
45912, sub-HC014_ses-01/dwi
45912, sub-HC029_ses-01/dwi
45912, sub-HC047_ses-01/dwi
45920, sub-HC034_ses-01/dwi
45936, sub-HC049_ses-01/dwi
45968, sub-HC020_ses-01/dwi
45984, sub-HC039_ses-01/dwi
45992, sub-HC001_ses-01/dwi
46000, sub-HC010_ses-01/dwi
46080, sub-HC032_ses-01/dwi
46152, sub-HC022_ses-01/dwi
46152, sub-HC036_ses-01/dwi
46168, sub-HC043_ses-01/dwi
46176, sub-HC018_ses-01/dwi
46200, sub-HC050_ses-01/dwi
46232, sub-HC045_ses-01/dwi
46320, sub-HC037_ses-01/dwi
46336, sub-HC040_ses-01/dwi
46344, sub-HC003_ses-01/dwi
46368, sub-HC046_ses-01/dwi
46448, sub-HC016_ses-01/dwi
46496, sub-HC025_ses-01/dwi
46568, sub-HC038_ses-01/dwi
46632, sub-HC044_ses-01/dwi
46752, sub-HC002_ses-01/dwi
46776, sub-HC041_ses-01/dwi
46800, sub-HC019_ses-01/dwi
46824, sub-HC015_ses-01/dwi
46872, sub-HC012_ses-01/dwi
49949, sub-HC006_ses-01/anat/micro_profiles
49949, sub-HC011_ses-01/anat/micro_profiles
49949, sub-HC036_ses-01/anat/micro_profiles
49957, sub-HC042_ses-01/anat/micro_profiles
49957, sub-HC043_ses-01/anat/micro_profiles
49965, sub-HC025_ses-01/anat/micro_profiles
49965, sub-HC028_ses-01/anat/micro_profiles
49965, sub-HC030_ses-01/anat/micro_profiles
49965, sub-HC039_ses-01/anat/micro_profiles
49965, sub-HC040_ses-01/anat/micro_profiles
49973, sub-HC015_ses-01/anat/micro_profiles
49981, sub-HC018_ses-01/anat/micro_profiles
49981, sub-HC024_ses-01/anat/micro_profiles
49989, sub-HC002_ses-01/anat/micro_profiles
49989, sub-HC008_ses-01/anat/micro_profiles
49989, sub-HC009_ses-01/anat/micro_profiles
49989, sub-HC010_ses-01/anat/micro_profiles
49989, sub-HC012_ses-01/anat/micro_profiles
49989, sub-HC020_ses-01/anat/micro_profiles
49989, sub-HC023_ses-01/anat/micro_profiles
49989, sub-HC027_ses-01/anat/micro_profiles
49989, sub-HC035_ses-01/anat/micro_profiles
49989, sub-HC037_ses-01/anat/micro_profiles
49989, sub-HC046_ses-01/anat/micro_profiles
49989, sub-HC047_ses-01/anat/micro_profiles
49989, sub-HC050_ses-01/anat/micro_profiles
49997, sub-HC003_ses-01/anat/micro_profiles
49997, sub-HC014_ses-01/anat/micro_profiles
49997, sub-HC017_ses-01/anat/micro_profiles
49997, sub-HC026_ses-01/anat/micro_profiles
49997, sub-HC029_ses-01/anat/micro_profiles
49997, sub-HC031_ses-01/anat/micro_profiles
49997, sub-HC032_ses-01/anat/micro_profiles
49997, sub-HC041_ses-01/anat/micro_profiles
49997, sub-HC044_ses-01/anat/micro_profiles
49997, sub-HC045_ses-01/anat/micro_profiles
50005, sub-HC004_ses-01/anat/micro_profiles
50005, sub-HC007_ses-01/anat/micro_profiles
50005, sub-HC016_ses-01/anat/micro_profiles
50005, sub-HC021_ses-01/anat/micro_profiles
50005, sub-HC022_ses-01/anat/micro_profiles
50005, sub-HC033_ses-01/anat/micro_profiles
50005, sub-HC038_ses-01/anat/micro_profiles
50005, sub-HC048_ses-01/anat/micro_profiles
50005, sub-HC049_ses-01/anat/micro_profiles
50021, sub-HC019_ses-01/anat/micro_profiles
50021, sub-HC034_ses-01/anat/micro_profiles
